loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,start_date,end_date,status
1,3199,Business,3735788.21,6.88,24,2025-06-20,2027-06-20,Defaulted
2,2777,Business,1135511.65,12.15,48,2025-07-06,2029-07-06,Closed
3,3451,Education,3924125.24,10.14,122,2022-09-02,2032-09-02,Closed
4,1084,Car,3505467.98,9.6,84,2023-08-07,2030-08-07,Active
5,2677,Home,841570.56,9.69,84,2023-12-22,2030-12-22,Closed
6,1902,Car,2920840.71,14.08,12,2023-10-10,2024-10-10,Defaulted
7,3149,Business,390317.21,10.56,24,2021-09-03,2023-09-03,Closed
8,135,Personal,1678152.9,10.57,36,2024-09-04,2027-09-04,Closed
9,4551,Home,168678.46,9.0,122,2025-09-15,2035-09-15,Active
10,3181,Home,4108347.33,10.93,84,2024-02-25,2031-02-25,Closed
11,425,Car,2280383.34,8.78,84,2022-04-23,2029-04-23,Active
12,3246,Car,1525310.49,9.56,84,2023-04-03,2030-04-03,Closed
13,69,Home,4186075.01,14.24,72,2021-02-23,2027-02-23,Active
14,4350,Education,2221344.14,9.65,24,2024-05-07,2026-05-07,Closed
15,66,Home,4240426.34,9.92,24,2023-03-04,2025-03-04,Active
16,4806,Business,2782489.95,8.35,12,2023-12-19,2024-12-19,Active
17,1351,Car,3730337.55,10.76,12,2024-01-11,2025-01-11,Defaulted
18,237,Personal,4054721.02,12.75,36,2025-05-31,2028-05-31,Active
19,191,Personal,1114273.6,12.23,60,2022-11-17,2027-11-17,Active
20,1639,Personal,4010269.32,9.27,122,2023-01-06,2033-01-06,Defaulted
21,3830,Car,904415.11,6.52,72,2024-05-31,2030-05-31,Active
22,4707,Education,2281973.08,9.32,36,2020-12-24,2023-12-24,Active
23,406,Home,2796803.68,8.0,84,2023-01-09,2030-01-09,Active
24,3797,Education,4305344.46,8.56,72,2024-08-13,2030-08-13,Closed
25,2636,Personal,1170826.55,10.35,60,2025-02-11,2030-02-11,Defaulted
26,4838,Home,2519312.57,8.22,36,2023-06-03,2026-06-03,Closed
27,2342,Personal,1395710.6,7.86,60,2022-01-20,2027-01-20,Closed
28,1845,Home,3606377.88,12.66,24,2021-04-25,2023-04-25,Defaulted
29,134,Business,2338526.06,12.21,24,2024-07-16,2026-07-16,Defaulted
30,3190,Personal,3692880.19,7.61,72,2020-11-11,2026-11-11,Defaulted
31,1732,Personal,4832581.22,13.07,60,2022-01-24,2027-01-24,Closed
32,3262,Car,1062193.13,7.99,84,2025-07-14,2032-07-14,Active
33,4892,Car,672022.67,7.61,72,2023-08-22,2029-08-22,Active
34,4042,Home,3753400.91,10.26,122,2021-08-19,2031-08-19,Closed
