transaction_id,customer_id,transaction_date,year,month,day_of_week,hour,transaction_type,transaction_category,transaction_mode,merchant,amount,status_transaction
30211,1,2024-10-10 18:49:07,2024,October,Thursday,18,Deposit,Credit,Online,Bank Deposit,10357.06,Success
34275,2,2024-04-16 09:52:39,2024,April,Tuesday,9,Deposit,Credit,Online,Bank Deposit,21938.08,Success
35782,3,2025-07-01 08:53:34,2025,July,Tuesday,8,Bill Payment,Debit,Online,PhonePe,4645.28,Success
20202,4,2024-10-30 06:28:34,2024,October,Wednesday,6,Withdrawal,Debit,UPI,ATM Withdrawal,2415.29,Success
39691,5,2025-05-11 07:27:17,2025,May,Sunday,7,Deposit,Credit,Branch,Bank Deposit,2349.2,Success
35905,6,2024-04-17 04:31:46,2024,April,Wednesday,4,Deposit,Credit,UPI,Bank Deposit,12437.16,Success
27557,7,2024-09-01 19:02:59,2024,September,Sunday,19,Withdrawal,Debit,Online,ATM Withdrawal,470.11,Pending
13034,8,2025-02-11 06:28:29,2025,February,Tuesday,6,Withdrawal,Debit,Online,ATM Withdrawal,5597.27,Failed
35688,9,2024-07-17 12:22:18,2024,July,Wednesday,12,Bill Payment,Debit,ATM,Reliance,3573.28,Success
383,10,2025-05-27 21:20:33,2025,May,Tuesday,21,Transfer,Transfer,ATM,Electricity Board,19250.76,Success
34069,11,2024-10-04 08:54:00,2024,October,Friday,8,Withdrawal,Debit,Branch,ATM Withdrawal,1276.0,Success
25948,12,2024-06-21 14:34:23,2024,June,Friday,14,Deposit,Credit,UPI,Bank Deposit,45780.77,Success
42560,13,2024-03-22 13:19:59,2024,March,Friday,13,Deposit,Credit,Online,Bank Deposit,4735.4,Pending
35545,14,2024-06-12 17:38:43,2024,June,Wednesday,17,Deposit,Credit,UPI,Bank Deposit,12760.36,Success
47405,15,2023-10-19 20:19:14,2023,October,Thursday,20,Transfer,Transfer,Branch,Electricity Board,1118.92,Success
7050,16,2025-08-22 01:22:11,2025,August,Friday,1,Withdrawal,Debit,UPI,ATM Withdrawal,9762.31,Success
16750,17,2024-08-21 06:24:08,2024,August,Wednesday,6,Transfer,Transfer,UPI,Water Board,5375.29,Success
8981,18,2023-10-27 11:44:24,2023,October,Friday,11,Bill Payment,Debit,ATM,Amazon,2098.52,Success
44773,19,2023-10-22 17:21:28,2023,October,Sunday,17,Transfer,Transfer,Branch,Water Board,14155.45,Success
34707,20,2025-03-05 05:23:23,2025,March,Wednesday,5,Transfer,Transfer,UPI,BigBasket,1840.8,Success
14115,21,2025-06-25 04:28:06,2025,June,Wednesday,4,Withdrawal,Debit,UPI,ATM Withdrawal,9336.75,Success
14843,22,2024-03-22 08:28:21,2024,March,Friday,8,Deposit,Credit,Online,Bank Deposit,17040.29,Success
43536,23,2025-02-10 20:28:28,2025,February,Monday,20,Deposit,Credit,Online,Bank Deposit,14236.49,Pending
20040,24,2024-06-17 10:17:40,2024,June,Monday,10,Withdrawal,Debit,ATM,ATM Withdrawal,8740.88,Success
14538,25,2023-12-03 01:15:59,2023,December,Sunday,1,Deposit,Credit,ATM,Bank Deposit,1191.75,Success
3326,26,2025-03-27 19:38:45,2025,March,Thursday,19,Transfer,Transfer,ATM,Gas Supplier,7136.95,Success
22239,27,2024-08-28 04:04:26,2024,August,Wednesday,4,Transfer,Transfer,ATM,Water Board,188.08,Success
29903,28,2024-06-04 01:44:14,2024,June,Tuesday,1,Withdrawal,Debit,Online,ATM Withdrawal,1679.83,Success
917,29,2023-12-17 01:53:40,2023,December,Sunday,1,Transfer,Transfer,Online,Electricity Board,4342.84,Success
28373,30,2025-06-21 21:56:04,2025,June,Saturday,21,Withdrawal,Debit,Branch,ATM Withdrawal,1750.31,Success
8262,31,2023-10-28 14:02:03,2023,October,Saturday,14,Deposit,Credit,Online,Bank Deposit,4983.93,Success
34785,32,2024-11-19 22:49:04,2024,November,Tuesday,22,Deposit,Credit,UPI,Bank Deposit,14891.56,Success
44385,33,2025-02-21 08:07:16,2025,February,Friday,8,Deposit,Credit,UPI,Bank Deposit,5821.98,Success
24156,34,2024-03-25 18:57:19,2024,March,Monday,18,Deposit,Credit,Branch,Bank Deposit,1308.06,Success
3725,35,2024-06-09 21:16:30,2024,June,Sunday,21,Deposit,Credit,ATM,Bank Deposit,23592.04,Success
44875,36,2025-05-29 05:55:01,2025,May,Thursday,5,Bill Payment,Debit,Branch,IRCTC,10117.24,Success
24903,37,2024-02-29 21:03:44,2024,February,Thursday,21,Transfer,Transfer,UPI,Water Board,2555.08,Success
7791,38,2025-04-26 20:07:18,2025,April,Saturday,20,Deposit,Credit,UPI,Bank Deposit,3326.96,Success
5327,39,2024-08-17 21:13:46,2024,August,Saturday,21,Withdrawal,Debit,ATM,ATM Withdrawal,1609.23,Failed
23470,40,2025-09-11 02:08:05,2025,September,Thursday,2,Withdrawal,Debit,ATM,ATM Withdrawal,5429.37,Success
1234,41,2023-10-24 21:49:15,2023,October,Tuesday,21,Withdrawal,Debit,Online,ATM Withdrawal,872.25,Success
25757,42,2023-11-15 18:44:21,2023,November,Wednesday,18,Deposit,Credit,Branch,Bank Deposit,2334.13,Success
14744,43,2024-04-29 16:00:01,2024,April,Monday,16,Bill Payment,Debit,UPI,Amazon,23533.56,Success
2777,44,2024-05-28 18:08:52,2024,May,Tuesday,18,Deposit,Credit,UPI,Bank Deposit,25556.28,Success
10395,45,2024-05-17 03:45:09,2024,May,Friday,3,Transfer,Transfer,Branch,Amazon,6274.11,Success
33476,46,2024-08-02 13:02:09,2024,August,Friday,13,Transfer,Transfer,Branch,PayTM,7408.78,Success
25411,47,2024-07-17 14:55:14,2024,July,Wednesday,14,Bill Payment,Debit,ATM,Reliance,4428.42,Success
5841,48,2025-03-04 19:27:47,2025,March,Tuesday,19,Withdrawal,Debit,Branch,ATM Withdrawal,199.8,Success
29069,49,2024-05-26 05:34:05,2024,May,Sunday,5,Deposit,Credit,Online,Bank Deposit,8616.55,Success
7969,50,2025-05-31 08:07:25,2025,May,Saturday,8,Deposit,Credit,UPI,Bank Deposit,10628.81,Success
19317,51,2025-01-20 19:51:57,2025,January,Monday,19,Deposit,Credit,Online,Bank Deposit,5901.32,Pending
48767,52,2024-12-25 18:04:44,2024,December,Wednesday,18,Deposit,Credit,Branch,Bank Deposit,7082.54,Pending
25462,53,2025-06-08 04:21:58,2025,June,Sunday,4,Withdrawal,Debit,UPI,ATM Withdrawal,11343.89,Success
10605,54,2025-05-03 20:45:48,2025,May,Saturday,20,Deposit,Credit,UPI,Bank Deposit,19081.93,Success
