transaction_id,customer_id,transaction_date,transaction_type,amount,transaction_mode,merchant,status_transaction
30211,1,2024-10-10 18:49:07,Deposit,10357.06,Online,,Success
34275,2,2024-04-16 09:52:39,Deposit,21938.08,Online,,Success
35782,3,2025-07-01 08:53:34,Bill Payment,4645.28,Online,PhonePe,Success
20202,4,2024-10-30 06:28:34,Withdrawal,2415.29,UPI,,Success
39691,5,2025-05-11 07:27:17,Deposit,2349.2,Branch,,Success
35905,6,2024-04-17 04:31:46,Deposit,12437.16,UPI,,Success
27557,7,2024-09-01 19:02:59,Withdrawal,470.11,Online,,Pending
13034,8,2025-02-11 06:28:29,Withdrawal,5597.27,Online,,Failed
35688,9,2024-07-17 12:22:18,Bill Payment,3573.28,ATM,Reliance,Success
383,10,2025-05-27 21:20:33,Transfer,19250.76,ATM,Electricity Board,Success
34069,11,2024-10-04 08:54:00,Withdrawal,1276.0,Branch,,Success
25948,12,2024-06-21 14:34:23,Deposit,45780.77,UPI,,Success
42560,13,2024-03-22 13:19:59,Deposit,4735.4,Online,,Pending
35545,14,2024-06-12 17:38:43,Deposit,12760.36,UPI,,Success
47405,15,2023-10-19 20:19:14,Transfer,1118.92,Branch,Electricity Board,Success
7050,16,2025-08-22 01:22:11,Withdrawal,9762.31,UPI,,Success
16750,17,2024-08-21 06:24:08,Transfer,5375.29,UPI,Water Board,Success
8981,18,2023-10-27 11:44:24,Bill Payment,2098.52,ATM,Amazon,Success
44773,19,2023-10-22 17:21:28,Transfer,14155.45,Branch,Water Board,Success
34707,20,2025-03-05 05:23:23,Transfer,1840.8,UPI,BigBasket,Success
14115,21,2025-06-25 04:28:06,Withdrawal,9336.75,UPI,,Success
14843,22,2024-03-22 08:28:21,Deposit,17040.29,Online,,Success
43536,23,2025-02-10 20:28:28,Deposit,14236.49,Online,,Pending
20040,24,2024-06-17 10:17:40,Withdrawal,8740.88,ATM,,Success
14538,25,2023-12-03 01:15:59,Deposit,1191.75,ATM,,Success
3326,26,2025-03-27 19:38:45,Transfer,7136.95,ATM,Gas Supplier,Success
22239,27,2024-08-28 04:04:26,Transfer,188.08,ATM,Water Board,Success
29903,28,2024-06-04 01:44:14,Withdrawal,1679.83,Online,,Success
917,29,2023-12-17 01:53:40,Transfer,4342.84,Online,Electricity Board,Success
28373,30,2025-06-21 21:56:04,Withdrawal,1750.31,Branch,,Success
8262,31,2023-10-28 14:02:03,Deposit,4983.93,Online,,Success
34785,32,2024-11-19 22:49:04,Deposit,14891.56,UPI,,Success
44385,33,2025-02-21 08:07:16,Deposit,5821.98,UPI,,Success
24156,34,2024-03-25 18:57:19,Deposit,1308.06,Branch,,Success
3725,35,2024-06-09 21:16:30,Deposit,23592.04,ATM,,Success
44875,36,2025-05-29 05:55:01,Bill Payment,10117.24,Branch,IRCTC,Success
24903,37,2024-02-29 21:03:44,Transfer,2555.08,UPI,Water Board,Success
7791,38,2025-04-26 20:07:18,Deposit,3326.96,UPI,,Success
5327,39,2024-08-17 21:13:46,Withdrawal,1609.23,ATM,,Failed
23470,40,2025-09-11 02:08:05,Withdrawal,5429.37,ATM,,Success
1234,41,2023-10-24 21:49:15,Withdrawal,872.25,Online,,Success
25757,42,2023-11-15 18:44:21,Deposit,2334.13,Branch,,Success
14744,43,2024-04-29 16:00:01,Bill Payment,23533.56,UPI,Amazon,Success
2777,44,2024-05-28 18:08:52,Deposit,25556.28,UPI,,Success
